"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-45","1","STC01-A-018-10","0","10","-1.2","in","3738.579417749175","4558.150408638953","4603.69324160955","819.5709908897784","865.1138238603749","dc","true","20260909","CASE3","3"
"STC1/out-45","1","STC01-B-012-08","0","10","-1.2","out","3776.300157755614","4558.150408638953","4642.116906099793","781.8502508833394","865.8167483441789","dc","true","20260909","CASE3","3"
"STC1/in-46","1","STC01-B-023-01","30","0","-1.2","in","3816.315041152494","4642.116906099793","4684.481160885423","825.8018649472988","868.1661197329295","in","true","20260909","CASE4","4"
"STC1/out-46","1","STC01-A-016-09","30","0","-1.2","out","3866.637562802062","4695.469249367125","4749.845415671054","828.8316865650627","883.2078528689922","out","true","20260909","CASE4","4"
"STC1/in-47","1","STC01-B-001-09","0","0","-1.2","in","3897.614413306915","4749.845415671054","4800.721581974984","852.2310023641389","903.1071686680684","dc","true","20260909","CASE5","5"
"STC1/out-47","1","STC01-A-010-01","0","10","-1.2","out","3952.5740108319696","4749.845415671054","4846.431081612246","797.2714048390844","893.8570707802764","dc","true","20260909","CASE5","5"
"STC1/in-48","1","STC01-B-016-10","0","10","-1.2","in","3988.677577253963","4858.931081612246","4903.140581249509","870.253504358283","914.4630039955455","in","true","20260909","CASE6","6"
"STC1/in-49","1","STC01-A-025-08","0","0","-1.2","in","4072.6497604378633","4919.473914582842","4969.683414220104","846.8241541449784","897.0336537822409","dc","true","20260909","CASE1","1"
"STC1/out-49","1","STC01-B-024-07","0","0","-1.2","out","4127.641867617412","4919.473914582842","5010.726247190701","791.83204696543","883.084379573289","dc","true","20260909","CASE1","1"
"STC1/out-48","1","STC01-B-015-09","0","0","-1.2","out","4041.9165852971914","5010.726247190701","5065.10241349463","968.8096618935092","1023.1858281974387","out","true","20260909","CASE6","6"
"STC1/in-50","1","STC01-A-007-03","0","0","-1.2","in","4164.087628960343","5065.10241349463","5090.742458809144","901.0147845342872","926.6548298488015","in","true","20260909","CASE2","2"
"STC1/in-51","1","STC01-B-011-04","0","10","-1.2","in","4242.507608019348","5101.006337819729","5141.882504123659","858.4987298003816","899.3748961043111","dc","true","20260909","CASE3","3"
"STC1/out-51","1","STC01-A-013-05","0","10","-1.2","out","4302.621475862606","5101.006337819729","5177.008029364012","798.3848619571236","874.3865535014065","dc","true","20260909","CASE3","3"
"STC1/out-50","1","STC01-B-010-09","60","0","-1.2","out","4208.74422158913","5177.008029364012","5224.384195667942","968.2638077748825","1015.639974078812","out","true","20260909","CASE2","2"
"STC1/in-52","1","STC01-A-007-08","30","0","-1.2","in","4330.964187958411","5224.384195667942","5273.260361971871","893.4200077095311","942.2961740134606","dc","true","20260909","CASE4","4"
"STC1/out-52","1","STC01-A-018-08","30","0","-1.2","out","4391.461459112221","5224.384195667942","5318.969861609134","832.9227365557208","927.5084024969128","dc","true","20260909","CASE4","4"
