"job_id","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"in-73","in","6119.949416132377","6147.926984107921","6175.760317441254","27.977567975543934","55.810901308876964","in","true","20260909"
"out-73","out","6184.4336893861855","6184.4336893861855","6222.7670227195185","0","38.33333333333303","out","true","20260909"
"in-74","in","6208.192224703463","6222.7670227195185","6243.931751139587","14.574798016055865","35.739526436123924","in","true","20260909"
"out-74","out","6273.1705868496965","6273.1705868496965","6304.067715440992","0","30.89712859129577","out","true","20260909"
"in-75","in","6296.3174860751515","6304.067715440992","6336.567715440992","7.7502293658408234","40.25022936584082","in","true","20260909"
"out-75","out","6360.713967291107","6360.713967291107","6398.545362377842","0","37.83139508673503","out","true","20260909"
"in-76","in","6382.680918698065","6398.545362377842","6431.545362377842","15.864443679776741","48.86444367977674","in","true","20260909"
"out-76","out","6449.783294363215","6449.783294363215","6487.2647567534195","0","37.4814623902048","out","true","20260909"
"in-77","in","6461.23159254635","6487.2647567534195","6525.098090086753","26.033164207069603","63.866497540402634","in","true","20260909"
"out-77","out","6530.066448021681","6530.066448021681","6573.899781355015","0","43.83333333333394","out","true","20260909"
"in-78","in","6541.878778677699","6573.899781355015","6610.399781355015","32.021002677315664","68.52100267731566","in","true","20260909"
"out-78","out","6613.479444757105","6613.479444757105","6659.146111423772","0","45.66666666666697","out","true","20260909"
"in-79","in","6622.2286251120795","6659.146111423772","6689.646111423772","36.9174863116923","67.4174863116923","in","true","20260909"
"out-79","out","6693.887372986814","6693.887372986814","6736.220706320147","0","42.33333333333303","out","true","20260909"
"in-80","in","6704.182728845625","6736.220706320147","6769.220706320147","32.03797747452154","65.03797747452154","in","true","20260909"
"out-80","out","6771.5098450279675","6771.5098450279675","6831.343178361301","0","59.83333333333394","out","true","20260909"
"in-81","in","6793.205645818794","6831.343178361301","6855.107057371886","38.13753254250696","61.90141155309175","in","true","20260909"
"out-81","out","6854.34720747439","6855.107057371886","6910.607057371886","0.7598498974957693","56.25984989749577","out","true","20260909"
"in-82","in","6887.243128752867","6910.607057371886","6935.773724038553","23.363928619019134","48.530595285686104","in","true","20260909"
"out-82","out","6944.667809259679","6944.667809259679","6986.167809259679","0","41.5","out","true","20260909"
"in-83","in","6964.796689962967","6986.167809259679","7017.334475926346","21.371119296712095","52.537785963379065","in","true","20260909"
"out-83","out","7030.373451172242","7030.373451172242","7077.873451172242","0","47.5","out","true","20260909"
"in-84","in","7042.134037546014","7077.873451172242","7105.706784505575","35.73941362622827","63.5727469595613","in","true","20260909"
"out-84","out","7111.9528094346515","7111.9528094346515","7164.4528094346515","0","52.5","out","true","20260909"
"in-85","in","7132.395079902239","7164.4528094346515","7193.4528094346515","32.05772953241285","61.05772953241285","in","true","20260909"
"out-85","out","7193.712368844344","7193.712368844344","7238.212368844344","0","44.5","out","true","20260909"
"in-86","in","7226.003222768859","7238.212368844344","7261.212368844344","12.209146075485478","35.20914607548548","in","true","20260909"
"out-86","out","7281.203443384065","7281.203443384065","7319.702161256913","0","38.49871787284792","out","true","20260909"
"in-87","in","7303.2252009346","7319.702161256913","7352.86882792358","16.47696032231306","49.64362698898003","in","true","20260909"
"out-87","out","7374.852228159352","7374.852228159352","7419.185561492685","0","44.33333333333303","out","true","20260909"
"in-88","in","7387.422271837878","7419.185561492685","7442.94944050327","31.763289654807522","55.52716866539231","in","true","20260909"
"out-88","out","7453.093615999181","7453.093615999181","7482.593615999181","0","29.5","out","true","20260909"
"in-89","in","7481.102238773766","7482.593615999181","7511.593615999181","1.491377225414908","30.491377225414908","in","true","20260909"
"out-89","out","7537.364066888446","7537.364066888446","7589.197400221779","0","51.83333333333303","out","true","20260909"
"in-90","in","7558.753369906915","7589.197400221779","7617.697400221779","30.444030314863994","58.944030314863994","in","true","20260909"
"out-90","out","7631.395634414097","7631.395634414097","7681.895634414097","0","50.5","out","true","20260909"
"in-91","in","7651.373754379205","7681.895634414097","7710.895634414097","30.521880034892092","59.52188003489209","in","true","20260909"
"out-91","out","7713.056143289433","7713.056143289433","7764.056143289433","0","51","out","true","20260909"
